id,kind,title,aliases,birth,death,occupation,community,lat,lng,url
309,person,"Abel Stearns",,"February 9, 1798","August 23, 1871","Merchant; Rancher; Politician",,,,https://scvhistory.ddev.site/persons/abel-stearns
317,person,"Andrés Pico",,"November 18, 1810","February 14, 1876","Military Officer; Rancher; Politician",Newhall,,,https://scvhistory.ddev.site/persons/andres-pico
291,person,"Antonio del Valle",,1788,1841,"Military Officer; Rancho Administrator; Land Grantee",,,,https://scvhistory.ddev.site/persons/antonio-del-valle
333,person,"Arthur Burnett Perkins",,1891,1977,"Historian · Water Company Manager · Justice of the Peace · Real Estate Agent · Civic Leader",Newhall,,,https://scvhistory.ddev.site/persons/arthur-b-perkins
323,person,"Cave Johnson Couts",,"November 6, 1821","June 10, 1874","Military Officer; Rancher",Newhall,,,https://scvhistory.ddev.site/persons/cave-johnson-couts
315,person,"Christopher Houston Carson",,"December 24, 1809","May 23, 1868","Scout; Trapper; Military Officer",Castaic,,,https://scvhistory.ddev.site/persons/kit-carson
341,person,"Dante Acosta",,"January 1, 1963",,"Politician; Financial Advisor; City Council Member; State Assemblymember","Canyon Country",,,https://scvhistory.ddev.site/persons/dante-acosta
327,person,"Edward Fitzgerald Beale",,"February 4, 1822","April 22, 1893","Naval Officer; Explorer; Surveyor; Rancher; Diplomat","Lebec; Tejon",,,https://scvhistory.ddev.site/persons/edward-fitzgerald-beale
313,person,"Edwin Bryant",,1805,"December 16, 1869","Journalist; Author; Alcalde",Castaic,,,https://scvhistory.ddev.site/persons/edwin-bryant
289,person,"Father Francisco Garcés",,"April 12, 1738","July 18, 1781",,"Castaic; San Francisquito Canyon",,,https://scvhistory.ddev.site/persons/father-francisco-garces
295,person,"Gaspar de Portolá",,"c. 1727","c. 1786","Military Officer; Colonial Governor","Castaic; Newhall",,,https://scvhistory.ddev.site/persons/gaspar-de-portola
331,person,"Henry Clay Wiley",,1829,"October 25, 1898","Entrepreneur; Lawman; Real Estate Agent",Newhall,,,https://scvhistory.ddev.site/persons/henry-clay-wiley
283,person,"Henry Mayo Newhall",,"May 13, 1825","March 13, 1882","Auctioneer; Land Developer; Railroad Investor","Newhall; Saugus",,,https://scvhistory.ddev.site/persons/henry-mayo-newhall
319,person,"James Wilson Marshall",,"October 8, 1810","August 10, 1885","Carpenter; Millwright; Miner",,,,https://scvhistory.ddev.site/persons/james-w-marshall
281,person,"Jerry Reynolds",,"July 16, 1937","February 26, 1996","Historian, Author, Museum Curator, Private Investigator",,,,https://scvhistory.ddev.site/persons/jerry-reynolds
