# SCVHistory.com people
# Creative Commons Attribution 4.0 International (CC-BY-4.0), https://creativecommons.org/licenses/by/4.0/
# Attribution: SCVHistory.com, the Santa Clarita Valley History Archive
# Generated 2026-09-23 from https://scvhistory.ddev.site/, 83 records
id,name,type,subtype,level,aliases,parent,wikidataId,viafId,gnisId,ein,cdsCode,ncesId,nrhpReference,articleCount,url,provenance,updated
309,"Abel Stearns",person,,,,,Q4666626,40840149,,,,,,1,https://scvhistory.ddev.site/persons/abel-stearns,,2026-09-22
18648,"Alex Mentry",person,,,,,,,,,,,,13,https://scvhistory.ddev.site/persons/alex-mentry,"created from review, 2026-09-21",2026-09-21
317,"Andrés Pico",person,,,,,Q2806243,,,,,,,0,https://scvhistory.ddev.site/persons/andres-pico,,2026-09-22
291,"Antonio del Valle",person,,,,,,,,,,,,2,https://scvhistory.ddev.site/persons/antonio-del-valle,,2026-09-22
333,"Arthur Burnett Perkins",person,,,,,,,,,,,,15,https://scvhistory.ddev.site/persons/arthur-b-perkins,,2026-09-22
16356,"Bill Hart",person,,,,,,,,,,,,6,https://scvhistory.ddev.site/persons/bill-hart,"created from review, 2026-09-21",2026-09-21
18791,"Buck McKeon",person,,,"Congressman Buck",,,,,,,,,6,https://scvhistory.ddev.site/persons/buck-mckeon,"created from review, 2026-09-21",2026-09-21
16380,"Cameron Smyth",person,,,,,Q5026379,,,,,,,6,https://scvhistory.ddev.site/persons/cameron-smyth,"created from review, 2026-09-21",2026-09-21
15808,"Carl Boyer",person,,,,,,,,,,,,13,https://scvhistory.ddev.site/persons/carl-boyer,"created from review, 2026-09-21",2026-09-21
15967,"Carol Rock",person,,,,,,,,,,,,7,https://scvhistory.ddev.site/persons/carol-rock,"created from review, 2026-09-21",2026-09-21
323,"Cave Johnson Couts",person,,,,,Q58333053,41737411,,,,,,0,https://scvhistory.ddev.site/persons/cave-johnson-couts,,2026-09-22
2532,"Cephas L. Bard",person,,,"Cephas R. Bard; Dr. Cephas R. Bard; Dr. Bard",,,,,,,,,1,https://scvhistory.ddev.site/persons/cephas-l-bard,,2026-09-21
18689,"Charles Barber",person,,,,,,,,,,,,11,https://scvhistory.ddev.site/persons/charles-barber,"created from review, 2026-09-21",2026-09-21
16388,"Charles Crocker",person,,,,,,,,,,,,6,https://scvhistory.ddev.site/persons/charles-crocker,"created from review, 2026-09-21",2026-09-21
315,"Christopher Houston Carson",person,,,"Kit Carson",,Q379673,27116218,,,,,,7,https://scvhistory.ddev.site/persons/kit-carson,,2026-09-22
15985,"Clyde Smyth",person,,,,,,,,,,,,7,https://scvhistory.ddev.site/persons/clyde-smyth,"created from review, 2026-09-21",2026-09-21
16418,"Connie Worden",person,,,,,,,,,,,,5,https://scvhistory.ddev.site/persons/connie-worden,"created from review, 2026-09-21",2026-09-21
18616,"Dan Hon",person,,,,,,,,,,,,15,https://scvhistory.ddev.site/persons/dan-hon,"created from review, 2026-09-21",2026-09-21
341,"Dante Acosta",person,,,,,Q27916203,,,,,,,0,https://scvhistory.ddev.site/persons/dante-acosta,,2026-09-22
2579,"Darryl Manzer",person,,,,,,,,,,,,0,https://scvhistory.ddev.site/persons/darryl-manzer,,2026-09-19
18813,"Doña Jacoba",person,,,,,,,,,,,,5,https://scvhistory.ddev.site/persons/doña-jacoba,"created from review, 2026-09-21",2026-09-21
