# SCVHistory.com places
# Creative Commons Attribution 4.0 International (CC-BY-4.0), https://creativecommons.org/licenses/by/4.0/
# Attribution: SCVHistory.com, the Santa Clarita Valley History Archive
# Generated 2026-09-21 from https://scvhistory.ddev.site/, 44 records
id,name,type,subtype,level,aliases,parent,wikidataId,viafId,gnisId,ein,cdsCode,ncesId,nrhpReference,articleCount,url,provenance,updated
932,"Beale's Cut Stagecoach Pass",place,,,"Fremont Pass, San Fernando Pass, Newhall Cut; Beale's Cut",,,,,,,,,0,https://scvhistory.ddev.site/places/beales-cut-stagecoach-pass,,2026-09-21
15886,"Castaic Creek",place,natural,,,,,,,,,,,9,https://scvhistory.ddev.site/places/castaic-creek,"created from review, 2026-09-21",2026-09-21
15949,"Downtown Newhall",place,site,,"Downtown Newhall Specific",,,,,,,,,7,https://scvhistory.ddev.site/places/downtown-newhall,"created from review, 2026-09-21",2026-09-21
15994,"Elizabeth Lake",place,natural,,"Lake Elizabeth",,,,,,,,,7,https://scvhistory.ddev.site/places/elizabeth-lake,"created from review, 2026-09-21",2026-09-21
595,"Estancia de San Francisco Xavier",place,,,,,,,,,,,,0,https://scvhistory.ddev.site/places/estancia,,2026-09-19
2540,"Felton School",place,,,,,,,,,,,,0,https://scvhistory.ddev.site/places/felton-school,,2026-09-18
597,"Fort Tejon",place,site,,,,Q49490774,,1656588,,,,,0,https://scvhistory.ddev.site/places/fort-tejon,"GNIS park id (retired) 271183",2026-09-21
16271,"Grapevine Canyon",place,natural,,Grapevine,,,,,,,,,17,https://scvhistory.ddev.site/places/grapevine-canyon,"created from review, 2026-09-21",2026-09-21
599,"Harry Carey Ranch",place,,,,,,,,,,,,0,https://scvhistory.ddev.site/places/harry-carey-ranch,,2026-09-19
16404,"Hart Mansion",place,building,,,,,,,,,,,5,https://scvhistory.ddev.site/places/hart-mansion,"created from review, 2026-09-21",2026-09-21
605,"Heritage Junction Historic Park",place,,,,,,,,,,,,0,https://scvhistory.ddev.site/places/heritage-junction,,2026-09-18
607,"Lake Hughes",place,site,,,,Q6476239,,1660877,,,,,0,https://scvhistory.ddev.site/places/lake-hughes,,2026-09-21
609,"Lang Station",place,,,,,,,,,,,,0,https://scvhistory.ddev.site/places/lang,,2026-09-19
15651,"Lyons Avenue",place,road,,Lyons,,,,,,,,,38,https://scvhistory.ddev.site/places/lyons-avenue,"created from review, 2026-09-21",2026-09-21
926,"Lyons Station Stagecoach Stop",place,,,"Lyon's Station, Hart's Station, Wiley's Station",,Q14683228,,,,,,,1,https://scvhistory.ddev.site/places/lyons-station,,2026-09-18
615,"Melody Ranch Motion Picture Studio",place,,,"Melody Ranch",,,,,,,,,0,https://scvhistory.ddev.site/places/melody-ranch,,2026-09-21
16515,"Mission San Francisco de Asís",place,site,,,,,,,,,,,0,https://scvhistory.ddev.site/places/mission-san-francisco-de-asís,,2026-09-21
16511,"Mission San Gabriel Arcángel",place,site,,"San Gabriel Mission",,,,,,,,,0,https://scvhistory.ddev.site/places/mission-san-gabriel-arcángel,,2026-09-21
16517,"Mission Santa Cruz",place,site,,,,,,,,,,,0,https://scvhistory.ddev.site/places/mission-santa-cruz,,2026-09-21
934,"Newhall Pass interchange",place,,,"Newhall Pass",,Q806051,,,,,,,0,https://scvhistory.ddev.site/places/newhall-pass-interchange,,2026-09-21
2538,"Newhall Ranch House",place,,,,,,,,,,,,0,https://scvhistory.ddev.site/places/newhall-ranch-house,,2026-09-18
16163,"Pico Canyon",place,natural,,,,,,,,,,,19,https://scvhistory.ddev.site/places/pico-canyon,"created from review, 2026-09-21",2026-09-21
16248,"Pico Canyon Road",place,road,,,,,,,,,,,10,https://scvhistory.ddev.site/places/pico-canyon-road,"created from review, 2026-09-21",2026-09-21
15850,"Piru Creek",place,natural,,,,,,,,,,,10,https://scvhistory.ddev.site/places/piru-creek,"created from review, 2026-09-21",2026-09-21
18565,"Placerita Canyon",place,natural,,,,,,,,,,,32,https://scvhistory.ddev.site/places/placerita-canyon,"created from review, 2026-09-21",2026-09-21
18799,"Placerita Canyon Nature Center",place,park,,,,,,,,,,,5,https://scvhistory.ddev.site/places/placerita-canyon-nature-center,"created from review, 2026-09-21",2026-09-21
18841,"Placerita Canyon Road",place,road,,,,,,,,,,,5,https://scvhistory.ddev.site/places/placerita-canyon-road,"created from review, 2026-09-21",2026-09-21
18676,"Railroad Canyon",place,natural,,,,,,,,,,,11,https://scvhistory.ddev.site/places/railroad-canyon,"created from review, 2026-09-21",2026-09-21
631,"Rancho Camulos",place,ranch,,,,Q7290871,,270247,,,,,0,https://scvhistory.ddev.site/places/rancho-camulos,,2026-09-21
16506,"Rancho El Tejon",place,ranch,,,,,,,,,,,0,https://scvhistory.ddev.site/places/rancho-el-tejon,,2026-09-21
16446,"Rancho San Francisco",place,ranch,,,,,,,,,,,36,https://scvhistory.ddev.site/places/rancho-san-francisco,"created from review, 2026-09-21",2026-09-21
635,"Ridge Route",place,,,,,Q19195,,,,,,,0,https://scvhistory.ddev.site/places/ridge-route,,2026-09-20
2536,"Ruiz Cemetery",place,,,,,,,,,,,,0,https://scvhistory.ddev.site/places/ruiz-cemetery,,2026-09-18
15508,"San Fernando Road",place,road,,,,,,,,,,,86,https://scvhistory.ddev.site/places/san-fernando-road,"created from review, 2026-09-21",2026-09-21
16184,"San Francisquito",place,site,,,,,,,,,,,15,https://scvhistory.ddev.site/places/san-francisquito,"created from review, 2026-09-21",2026-09-21
15596,"Santa Clara River",place,natural,,,,,,,,,,,53,https://scvhistory.ddev.site/places/santa-clara-river,"created from review, 2026-09-21",2026-09-21
16364,"Saugus Cafe",place,site,,,,,,,,,,,6,https://scvhistory.ddev.site/places/saugus-cafe,"created from review, 2026-09-21",2026-09-21
643,"Saugus Speedway",place,,,,,,,,,,,,0,https://scvhistory.ddev.site/places/saugus-speedway,,2026-09-20
613,"Six Flags Magic Mountain",place,,,,,Q1515080,,,,,,,0,https://scvhistory.ddev.site/places/magic-mountain,,2026-09-20
18529,"Soledad Canyon",place,natural,,,,,,,,,,,34,https://scvhistory.ddev.site/places/soledad-canyon,"created from review, 2026-09-21",2026-09-21
